,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
1,0,Background,45.0,45.0,45.0,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,46.5,46.5,46.5,45.0,45.0,45.0,43.5,43.5,43.5,43.5
2,1,Marker,1028.025,1056.026,1193.051,1214.505,1259.428,1319.346,5322.671,784.792,847.18,1069.542,1022.149,1123.528,1693.357,862.959,878.887,770.729,983.792,1022.99,1100.143,970.359,977.376
7,100,Sample1,45.0,45.0,45.0,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,46.5,46.5,46.5,45.0,45.0,45.0,43.5,43.5,43.5,43.5
8,101,Sample2,45.0,45.0,45.0,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,46.5,46.5,46.5,45.0,45.0,45.0,43.5,43.5,43.5,43.5
13,102,Sample3,45.0,45.0,45.0,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,46.5,46.5,46.5,57.34,45.0,45.0,43.5,43.5,43.5,43.5
6,103,Sample4,45.0,45.0,45.0,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,46.5,46.5,46.5,45.0,45.0,45.0,43.5,43.5,43.5,43.5
5,107,Sample8,45.0,45.0,45.0,43.5,43.5,43.5,1876.69,48.0,48.0,48.0,48.0,46.5,46.5,46.5,45.0,45.0,45.0,43.5,43.5,43.5,43.5
9,109,Sample10,656.681,255.639,261.125,245.75,802.743,248.035,43.5,547.361,221.451,245.465,243.465,277.833,46.5,46.5,471.833,203.187,227.507,196.472,223.694,43.5,43.5
4,111,Sample12,45.0,45.0,45.0,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,46.5,46.5,46.5,45.0,45.0,45.0,43.5,43.5,43.5,43.5
3,114,Sample15,45.0,45.0,45.0,43.5,43.5,43.5,43.5,48.0,48.0,48.0,48.0,46.5,46.5,46.5,45.0,45.0,45.0,43.5,43.5,43.5,43.5
