,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
1,0,Background,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
2,1,Marker,372.548,451.77,819.558,622.463,436.667,1452.564,3537.583,315.987,501.183,726.374,825.448,614.633,346.258,473.269,380.999,779.767,1836.091,2350.831,1164.578,2649.963,3294.903
4,100,Sample1,46.5,45.0,45.0,45.0,46.5,5122.666,10857.94,49.5,1907.738,3582.272,4503.005,2165.936,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
8,101,Sample2,46.5,45.0,45.0,45.0,46.5,1945.961,2167.036,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,2842.22,2612.44,46.5,1998.492,2760.495
9,102,Sample3,56.66,400.549,2593.306,1963.765,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,682.946,756.25,2546.996,9555.541,13180.648,4431.693,14507.571,22336.173
7,103,Sample4,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
23,106,Sample7,46.5,45.0,84.493,375.028,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,82.389,1309.921,46.5,91.556,1926.52
6,107,Sample8,46.5,45.0,45.0,45.0,46.5,3034.049,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
37,110,Sample11,46.5,45.0,45.0,45.0,46.5,46.5,149.022,49.5,48.0,48.0,63.5,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
5,111,Sample12,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
61,112,Sample13,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,67.35,46.5,45.0,99.18
38,113,Sample14,46.5,45.0,45.0,45.0,46.5,134.875,660.014,49.5,48.0,124.711,155.368,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
