,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
1,0,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,Marker,5.826,6.032,5.709,4.702,4.973,5.075,4.959,31.982,34.745,35.931,23.944,22.41,21.35,4.876,8.767,12.688,15.472,9.779,12.608,12.284,5.219
3,100,Sample1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,101,Sample2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,103,Sample4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,107,Sample8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,111,Sample12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,113,Sample14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.007,1.0,0.0
4,114,Sample15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,202,Sample18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953,0.984,0.0
14,203,Sample19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.021,5.979,5.0,4.514,5.007,5.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,208,Sample24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,1.0,1.0,0.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,213,Sample29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,302,Sample33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.092,28.321,26.306,26.372,27.23,27.816,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
15,303,Sample34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,307,Sample37,5.4,3.78,0.97,0.0,0.0,0.0,0.0,27.326,31.368,7.36,2.0,2.0,7.99,0.0,5.53,9.19,2.97,0.0,0.0,0.0,0.0
16,308,Sample38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,313,Sample43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.066,21.357,19.602,17.311,20.302,21.051,0.0,9.646,11.924,13.514,12.417,13.083,14.285,0.0
17,314,Sample44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.325,29.77,28.408,25.511,28.418,29.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,401,Sample46,26.899,28.561,26.972,27.066,31.357,28.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,402,Sample47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,403,Sample48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007,1.01,1.0,1.028,0.0,1.0,0.0,1.0,1.024,1.6,1.51,1.6,1.51,0.0
10,407,Sample52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,411,Sample56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.507,49.786,51.16,48.694,52.896,53.729,0.0,1.028,2.0,2.0,2.007,2.0,2.0,0.0
23,412,Sample57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.643,23.188,23.056,21.431,23.951,24.84,0.0,12.181,15.431,18.826,17.396,19.472,20.743,0.0
21,413,Sample58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.056,21.601,25.941,24.367,26.903,28.255,0.0
20,414,Sample59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,501,Sample61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,503,Sample63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,504,Sample64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,509,Sample69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875,2.0,1.936,1.28,1.568,1.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,511,Sample71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,512,Sample72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
